PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex,Ticket,Cabin,Embarked,Name,Cabin_ticket_list,Cabin_seat_count,Cabin_group,Family_Member_Count,Sex_encoded,Cabin_encoded,Cabin_group_encoded,Embarked_encoded
1,0,3,22.0,1,0,7.25,male,A/5 21171,Missing,S,"['braund', 'mr', 'owen', 'harris']",[],0,M,1,1,146,7,2
2,1,1,38.0,1,0,71.2833,female,PC 17599,C85,C,"['cumings', 'mrs', 'john', 'bradley', 'florence', 'briggs', 'thayer']",['C85'],1,C,1,0,81,2,0
3,1,3,26.0,0,0,7.925,female,STON/O2. 3101282,Missing,S,"['heikkinen', 'miss', 'laina']",[],0,M,0,0,146,7,2
4,1,1,35.0,1,0,53.1,female,113803,C123,S,"['futrelle', 'mrs', 'jacques', 'heath', 'lily', 'may', 'peel']",['C123'],1,C,1,0,55,2,2
5,0,3,35.0,0,0,8.05,male,373450,Missing,S,"['allen', 'mr', 'william', 'henry']",[],0,M,0,1,146,7,2
6,0,3,28.0,0,0,8.4583,male,330877,Missing,Q,"['moran', 'mr', 'james']",[],0,M,0,1,146,7,1
7,0,1,54.0,0,0,51.8625,male,17463,E46,S,"['mccarthy', 'mr', 'timothy', 'j']",['E46'],1,E,0,1,129,4,2
8,0,3,2.0,3,1,21.075,male,349909,Missing,S,"['palsson', 'master', 'gosta', 'leonard']",[],0,M,4,1,146,7,2
9,1,3,27.0,0,2,11.1333,female,347742,Missing,S,"['johnson', 'mrs', 'oscar', 'w', 'elisabeth', 'vilhelmina', 'berg']",[],0,M,2,0,146,7,2
10,1,2,14.0,1,0,30.0708,female,237736,Missing,C,"['nasser', 'mrs', 'nicholas', 'adele', 'achem']",[],0,M,1,0,146,7,0
11,1,3,4.0,1,1,16.7,female,PP 9549,G6,S,"['sandstrom', 'miss', 'marguerite', 'rut']",['G6'],1,G,2,0,145,6,2
12,1,1,58.0,0,0,26.55,female,113783,C103,S,"['bonnell', 'miss', 'elizabeth']",['C103'],1,C,0,0,49,2,2
13,0,3,20.0,0,0,8.05,male,A/5. 2151,Missing,S,"['saundercock', 'mr', 'william', 'henry']",[],0,M,0,1,146,7,2
14,0,3,39.0,1,5,31.275,male,347082,Missing,S,"['andersson', 'mr', 'anders', 'johan']",[],0,M,6,1,146,7,2
15,0,3,14.0,0,0,7.8542,female,350406,Missing,S,"['vestrom', 'miss', 'hulda', 'amanda', 'adolfina']",[],0,M,0,0,146,7,2
16,1,2,55.0,0,0,16.0,female,248706,Missing,S,"['hewlett', 'mrs', 'mary', 'd', 'kingcome', '']",[],0,M,0,0,146,7,2
17,0,3,2.0,4,1,29.125,male,382652,Missing,Q,"['rice', 'master', 'eugene']",[],0,M,5,1,146,7,1
18,1,2,28.0,0,0,13.0,male,244373,Missing,S,"['williams', 'mr', 'charles', 'eugene']",[],0,M,0,1,146,7,2
19,0,3,31.0,1,0,18.0,female,345763,Missing,S,"['vander', 'planke', 'mrs', 'julius', 'emelia', 'maria', 'vandemoortele']",[],0,M,1,0,146,7,2
20,1,3,28.0,0,0,7.225,female,2649,Missing,C,"['masselmani', 'mrs', 'fatima']",[],0,M,0,0,146,7,0
21,0,2,35.0,0,0,26.0,male,239865,Missing,S,"['fynney', 'mr', 'joseph', 'j']",[],0,M,0,1,146,7,2
22,1,2,34.0,0,0,13.0,male,248698,D56,S,"['beesley', 'mr', 'lawrence']",['D56'],1,D,0,1,111,3,2
23,1,3,15.0,0,0,8.0292,female,330923,Missing,Q,"['mcgowan', 'miss', 'anna', 'annie']",[],0,M,0,0,146,7,1
24,1,1,28.0,0,0,35.5,male,113788,A6,S,"['sloper', 'mr', 'william', 'thompson']",['A6'],1,A,0,1,13,0,2
25,0,3,8.0,3,1,21.075,female,349909,Missing,S,"['palsson', 'miss', 'torborg', 'danira']",[],0,M,4,0,146,7,2
26,1,3,38.0,1,5,31.3875,female,347077,Missing,S,"['asplund', 'mrs', 'carl', 'oscar', 'selma', 'augusta', 'emilia', 'johansson']",[],0,M,6,0,146,7,2
27,0,3,28.0,0,0,7.225,male,2631,Missing,C,"['emir', 'mr', 'farred', 'chehab']",[],0,M,0,1,146,7,0
28,0,1,19.0,3,2,263.0,male,19950,C23 C25 C27,S,"['fortune', 'mr', 'charles', 'alexander']","['C23', 'C25', 'C27']",3,C,5,1,63,2,2
29,1,3,28.0,0,0,7.8792,female,330959,Missing,Q,"['odwyer', 'miss', 'ellen', 'nellie']",[],0,M,0,0,146,7,1
30,0,3,28.0,0,0,7.8958,male,349216,Missing,S,"['todoroff', 'mr', 'lalio']",[],0,M,0,1,146,7,2
31,0,1,40.0,0,0,27.7208,male,PC 17601,Missing,C,"['uruchurtu', 'don', 'manuel', 'e']",[],0,M,0,1,146,7,0
32,1,1,28.0,1,0,146.5208,female,PC 17569,B78,C,"['spencer', 'mrs', 'william', 'augustus', 'marie', 'eugenie']",['B78'],1,B,1,0,41,1,0
33,1,3,28.0,0,0,7.75,female,335677,Missing,Q,"['glynn', 'miss', 'mary', 'agatha']",[],0,M,0,0,146,7,1
34,0,2,66.0,0,0,10.5,male,C.A. 24579,Missing,S,"['wheadon', 'mr', 'edward', 'h']",[],0,M,0,1,146,7,2
35,0,1,28.0,1,0,82.1708,male,PC 17604,Missing,C,"['meyer', 'mr', 'edgar', 'joseph']",[],0,M,1,1,146,7,0
36,0,1,42.0,1,0,52.0,male,113789,Missing,S,"['holverson', 'mr', 'alexander', 'oskar']",[],0,M,1,1,146,7,2
37,1,3,28.0,0,0,7.2292,male,2677,Missing,C,"['mamee', 'mr', 'hanna']",[],0,M,0,1,146,7,0
38,0,3,21.0,0,0,8.05,male,A./5. 2152,Missing,S,"['cann', 'mr', 'ernest', 'charles']",[],0,M,0,1,146,7,2
39,0,3,18.0,2,0,18.0,female,345764,Missing,S,"['vander', 'planke', 'miss', 'augusta', 'maria']",[],0,M,2,0,146,7,2
40,1,3,14.0,1,0,11.2417,female,2651,Missing,C,"['nicolayarred', 'miss', 'jamila']",[],0,M,1,0,146,7,0
41,0,3,40.0,1,0,9.475,female,7546,Missing,S,"['ahlin', 'mrs', 'johan', 'johanna', 'persdotter', 'larsson']",[],0,M,1,0,146,7,2
42,0,2,27.0,1,0,21.0,female,11668,Missing,S,"['turpin', 'mrs', 'william', 'john', 'robert', 'dorothy', 'ann', 'wonnacott']",[],0,M,1,0,146,7,2
43,0,3,28.0,0,0,7.8958,male,349253,Missing,C,"['kraeff', 'mr', 'theodor']",[],0,M,0,1,146,7,0
44,1,2,3.0,1,2,41.5792,female,SC/Paris 2123,Missing,C,"['laroche', 'miss', 'simonne', 'marie', 'anne', 'andree']",[],0,M,3,0,146,7,0
45,1,3,19.0,0,0,7.8792,female,330958,Missing,Q,"['devaney', 'miss', 'margaret', 'delia']",[],0,M,0,0,146,7,1
46,0,3,28.0,0,0,8.05,male,S.C./A.4. 23567,Missing,S,"['rogers', 'mr', 'william', 'john']",[],0,M,0,1,146,7,2
47,0,3,28.0,1,0,15.5,male,370371,Missing,Q,"['lennon', 'mr', 'denis']",[],0,M,1,1,146,7,1
48,1,3,28.0,0,0,7.75,female,14311,Missing,Q,"['odriscoll', 'miss', 'bridget']",[],0,M,0,0,146,7,1
49,0,3,28.0,2,0,21.6792,male,2662,Missing,C,"['samaan', 'mr', 'youssef']",[],0,M,2,1,146,7,0
50,0,3,18.0,1,0,17.8,female,349237,Missing,S,"['arnoldfranchi', 'mrs', 'josef', 'josefine', 'franchi']",[],0,M,1,0,146,7,2
